CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.11;Lucro/Prejuízo Consolidado do Período;-6098329.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.11;Lucro/Prejuízo Consolidado do Período;-21938529.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;-6085054.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;-21881976.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.11.02;Atribuído a Sócios Não Controladores;-13275.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.11.02;Atribuído a Sócios Não Controladores;-56553.0000000000;S
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.99.01.01;ON;-0.2845000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.99.01.01;ON;-0.9802000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.99.02.01;ON;-0.2845000000;N
08.070.508/0001-78;2026-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.99.02.01;ON;-0.9802000000;N
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.01;Receita de Venda de Bens e/ou Serviços;3712346.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.01;Receita de Venda de Bens e/ou Serviços;4288218.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-2700360.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-2836690.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.02.01;Custo dos produtos vendidos e serviços prestados;-2684052.0000000000;N
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.02.01;Custo dos produtos vendidos e serviços prestados;-2869398.0000000000;N
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.02.02;Variação no valor justo de ativo biológico;-16308.0000000000;N
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.02.02;Variação no valor justo de ativo biológico;32708.0000000000;N
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.03;Resultado Bruto;1011986.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.03;Resultado Bruto;1451528.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04;Despesas/Receitas Operacionais;-266847.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04;Despesas/Receitas Operacionais;-345965.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.01;Despesas com Vendas;-211088.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04.01;Despesas com Vendas;-271846.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.02;Despesas Gerais e Administrativas;-120871.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04.02;Despesas Gerais e Administrativas;-132120.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.04;Outras Receitas Operacionais;66749.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04.04;Outras Receitas Operacionais;56076.0000000000;S
08.322.396/0001-03;2026-03-31;1;CERRADINHO BIOENERGIA S.A.;026522;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.05;Outras Despesas Operacionais;-1637.0000000000;S
